Identifier,Optimal Groups,n Values,Result
45-12-5-4-3-1-39,39,"21,5,9,29,4,33,7,1,36,16,17,28","[1 36 16 17 28], [9 29 4 33 7], [21 5 16 17 28], [4 33 7 1 36], [21 5 9 29 28], [4 33 7 16 17], [21 5 29 1 36], [9 4 33 7 28], [21 5 9 16 17], [5 9 29 1 36], [21 29 4 33 7], [5 1 36 16 17], [33 7 16 17 28], [29 4 1 36 17], [21 5 33 7 16], [9 4 1 36 28], [21 29 33 7 16], [33 7 1 36 17], [21 5 9 4 28], [29 7 1 36 16], [21 5 9 33 28], [9 1 36 17 28], [21 5 29 16 28], [21 33 7 1 36], [5 29 4 17 28], [9 7 1 36 16], [21 5 33 36 28], [21 33 1 16 17], [5 29 4 33 7], [9 1 16 17 28], [29 4 7 1 17], [21 9 4 1 28], [33 7 36 16 17], [9 29 4 7 17], [33 7 36 16 28], [5 29 4 33 16], [33 7 1 36 28], [21 5 29 33 36], [21 5 36 16 17]"
45-12-5-4-3-1-39,39,"25,31,3,29,6,18,33,35,9,13,32,36","[35 9 13 32 36], [3 29 6 18 33], [25 31 13 32 36], [6 18 33 35 9], [25 31 3 29 36], [6 18 33 13 32], [25 31 29 35 9], [3 6 18 33 36], [25 31 3 13 32], [31 3 29 35 9], [25 29 6 18 33], [31 35 9 13 32], [18 33 13 32 36], [29 6 35 9 32], [25 31 18 33 13], [3 6 35 9 36], [25 29 18 33 13], [18 33 35 9 32], [25 31 3 6 36], [29 33 35 9 13], [25 31 3 18 36], [3 35 9 32 36], [25 31 29 13 36], [25 18 33 35 9], [31 29 6 32 36], [3 33 35 9 13], [25 31 18 9 36], [25 18 35 13 32], [31 29 6 18 33], [3 35 13 32 36], [29 6 33 35 32], [25 3 6 35 36], [18 33 9 13 32], [3 29 6 33 32], [18 33 9 13 36], [31 29 6 18 13], [18 33 35 9 36], [25 31 29 18 9], [25 31 9 13 32]"
45-12-5-4-3-1-39,39,"25,31,3,29,6,18,33,35,9,13,32,36","[35 9 13 32 36], [3 29 6 18 33], [25 31 13 32 36], [6 18 33 35 9], [25 31 3 29 36], [6 18 33 13 32], [25 31 29 35 9], [3 6 18 33 36], [25 31 3 13 32], [31 3 29 35 9], [25 29 6 18 33], [31 35 9 13 32], [18 33 13 32 36], [29 6 35 9 32], [25 31 18 33 13], [3 6 35 9 36], [25 29 18 33 13], [18 33 35 9 32], [25 31 3 6 36], [29 33 35 9 13], [25 31 3 18 36], [3 35 9 32 36], [25 31 29 13 36], [25 18 33 35 9], [31 29 6 32 36], [3 33 35 9 13], [25 31 18 9 36], [25 18 35 13 32], [31 29 6 18 33], [3 35 13 32 36], [29 6 33 35 32], [25 3 6 35 36], [18 33 9 13 32], [3 29 6 33 32], [18 33 9 13 36], [31 29 6 18 13], [18 33 35 9 36], [25 31 29 18 9], [25 31 9 13 32]"
45-12-5-4-3-1-39,39,"25,31,3,29,6,18,33,35,9,13,32,36","[35 9 13 32 36], [3 29 6 18 33], [25 31 13 32 36], [6 18 33 35 9], [25 31 3 29 36], [6 18 33 13 32], [25 31 29 35 9], [3 6 18 33 36], [25 31 3 13 32], [31 3 29 35 9], [25 29 6 18 33], [31 35 9 13 32], [18 33 13 32 36], [29 6 35 9 32], [25 31 18 33 13], [3 6 35 9 36], [25 29 18 33 13], [18 33 35 9 32], [25 31 3 6 36], [29 33 35 9 13], [25 31 3 18 36], [3 35 9 32 36], [25 31 29 13 36], [25 18 33 35 9], [31 29 6 32 36], [3 33 35 9 13], [25 31 18 9 36], [25 18 35 13 32], [31 29 6 18 33], [3 35 13 32 36], [29 6 33 35 32], [25 3 6 35 36], [18 33 9 13 32], [3 29 6 33 32], [18 33 9 13 36], [31 29 6 18 13], [18 33 35 9 36], [25 31 29 18 9], [25 31 9 13 32]"
45-12-5-4-3-1-39,39,"25,31,3,29,6,18,33,35,9,13,32,36","[35 9 13 32 36], [3 29 6 18 33], [25 31 13 32 36], [6 18 33 35 9], [25 31 3 29 36], [6 18 33 13 32], [25 31 29 35 9], [3 6 18 33 36], [25 31 3 13 32], [31 3 29 35 9], [25 29 6 18 33], [31 35 9 13 32], [18 33 13 32 36], [29 6 35 9 32], [25 31 18 33 13], [3 6 35 9 36], [25 29 18 33 13], [18 33 35 9 32], [25 31 3 6 36], [29 33 35 9 13], [25 31 3 18 36], [3 35 9 32 36], [25 31 29 13 36], [25 18 33 35 9], [31 29 6 32 36], [3 33 35 9 13], [25 31 18 9 36], [25 18 35 13 32], [31 29 6 18 33], [3 35 13 32 36], [29 6 33 35 32], [25 3 6 35 36], [18 33 9 13 32], [3 29 6 33 32], [18 33 9 13 36], [31 29 6 18 13], [18 33 35 9 36], [25 31 29 18 9], [25 31 9 13 32]"
45-12-5-4-3-1-39,39,"25,31,3,29,6,18,33,35,9,13,32,36","[35 9 13 32 36], [3 29 6 18 33], [25 31 13 32 36], [6 18 33 35 9], [25 31 3 29 36], [6 18 33 13 32], [25 31 29 35 9], [3 6 18 33 36], [25 31 3 13 32], [31 3 29 35 9], [25 29 6 18 33], [31 35 9 13 32], [18 33 13 32 36], [29 6 35 9 32], [25 31 18 33 13], [3 6 35 9 36], [25 29 18 33 13], [18 33 35 9 32], [25 31 3 6 36], [29 33 35 9 13], [25 31 3 18 36], [3 35 9 32 36], [25 31 29 13 36], [25 18 33 35 9], [31 29 6 32 36], [3 33 35 9 13], [25 31 18 9 36], [25 18 35 13 32], [31 29 6 18 33], [3 35 13 32 36], [29 6 33 35 32], [25 3 6 35 36], [18 33 9 13 32], [3 29 6 33 32], [18 33 9 13 36], [31 29 6 18 13], [18 33 35 9 36], [25 31 29 18 9], [25 31 9 13 32]"
45-12-5-4-3-1-39,39,"25,31,3,29,6,18,33,35,9,13,32,36","[35 9 13 32 36], [3 29 6 18 33], [25 31 13 32 36], [6 18 33 35 9], [25 31 3 29 36], [6 18 33 13 32], [25 31 29 35 9], [3 6 18 33 36], [25 31 3 13 32], [31 3 29 35 9], [25 29 6 18 33], [31 35 9 13 32], [18 33 13 32 36], [29 6 35 9 32], [25 31 18 33 13], [3 6 35 9 36], [25 29 18 33 13], [18 33 35 9 32], [25 31 3 6 36], [29 33 35 9 13], [25 31 3 18 36], [3 35 9 32 36], [25 31 29 13 36], [25 18 33 35 9], [31 29 6 32 36], [3 33 35 9 13], [25 31 18 9 36], [25 18 35 13 32], [31 29 6 18 33], [3 35 13 32 36], [29 6 33 35 32], [25 3 6 35 36], [18 33 9 13 32], [3 29 6 33 32], [18 33 9 13 36], [31 29 6 18 13], [18 33 35 9 36], [25 31 29 18 9], [25 31 9 13 32]"
45-12-5-4-3-1-39,39,"25,31,3,29,6,18,33,35,9,13,32,36","[35 9 13 32 36], [3 29 6 18 33], [25 31 13 32 36], [6 18 33 35 9], [25 31 3 29 36], [6 18 33 13 32], [25 31 29 35 9], [3 6 18 33 36], [25 31 3 13 32], [31 3 29 35 9], [25 29 6 18 33], [31 35 9 13 32], [18 33 13 32 36], [29 6 35 9 32], [25 31 18 33 13], [3 6 35 9 36], [25 29 18 33 13], [18 33 35 9 32], [25 31 3 6 36], [29 33 35 9 13], [25 31 3 18 36], [3 35 9 32 36], [25 31 29 13 36], [25 18 33 35 9], [31 29 6 32 36], [3 33 35 9 13], [25 31 18 9 36], [25 18 35 13 32], [31 29 6 18 33], [3 35 13 32 36], [29 6 33 35 32], [25 3 6 35 36], [18 33 9 13 32], [3 29 6 33 32], [18 33 9 13 36], [31 29 6 18 13], [18 33 35 9 36], [25 31 29 18 9], [25 31 9 13 32]"
45-12-5-4-3-1-39,39,"25,31,3,29,6,18,33,35,9,13,32,36","[35 9 13 32 36], [3 29 6 18 33], [25 31 13 32 36], [6 18 33 35 9], [25 31 3 29 36], [6 18 33 13 32], [25 31 29 35 9], [3 6 18 33 36], [25 31 3 13 32], [31 3 29 35 9], [25 29 6 18 33], [31 35 9 13 32], [18 33 13 32 36], [29 6 35 9 32], [25 31 18 33 13], [3 6 35 9 36], [25 29 18 33 13], [18 33 35 9 32], [25 31 3 6 36], [29 33 35 9 13], [25 31 3 18 36], [3 35 9 32 36], [25 31 29 13 36], [25 18 33 35 9], [31 29 6 32 36], [3 33 35 9 13], [25 31 18 9 36], [25 18 35 13 32], [31 29 6 18 33], [3 35 13 32 36], [29 6 33 35 32], [25 3 6 35 36], [18 33 9 13 32], [3 29 6 33 32], [18 33 9 13 36], [31 29 6 18 13], [18 33 35 9 36], [25 31 29 18 9], [25 31 9 13 32]"
45-12-5-4-3-1-39,39,"17,19,41,11,39,45,10,40,37,3,44,4","[40 37 3 44 4], [41 11 39 45 10], [17 19 3 44 4], [39 45 10 40 37], [17 19 41 11 4], [39 45 10 3 44], [17 19 11 40 37], [41 39 45 10 4], [17 19 41 3 44], [19 41 11 40 37], [17 11 39 45 10], [19 40 37 3 44], [45 10 3 44 4], [11 39 40 37 44], [17 19 45 10 3], [41 39 40 37 4], [17 11 45 10 3], [45 10 40 37 44], [17 19 41 39 4], [11 10 40 37 3], [17 19 41 45 4], [41 40 37 44 4], [17 19 11 3 4], [17 45 10 40 37], [19 11 39 44 4], [41 10 40 37 3], [17 19 45 37 4], [17 45 40 3 44], [19 11 39 45 10], [41 40 3 44 4], [11 39 10 40 44], [17 41 39 40 4], [45 10 37 3 44], [41 11 39 10 44], [45 10 37 3 4], [19 11 39 45 3], [45 10 40 37 4], [17 19 11 45 37], [17 19 37 3 44]"
45-12-5-4-3-1-39,39,"17,19,41,11,39,45,10,40,37,3,44,4","[40 37 3 44 4], [41 11 39 45 10], [17 19 3 44 4], [39 45 10 40 37], [17 19 41 11 4], [39 45 10 3 44], [17 19 11 40 37], [41 39 45 10 4], [17 19 41 3 44], [19 41 11 40 37], [17 11 39 45 10], [19 40 37 3 44], [45 10 3 44 4], [11 39 40 37 44], [17 19 45 10 3], [41 39 40 37 4], [17 11 45 10 3], [45 10 40 37 44], [17 19 41 39 4], [11 10 40 37 3], [17 19 41 45 4], [41 40 37 44 4], [17 19 11 3 4], [17 45 10 40 37], [19 11 39 44 4], [41 10 40 37 3], [17 19 45 37 4], [17 45 40 3 44], [19 11 39 45 10], [41 40 3 44 4], [11 39 10 40 44], [17 41 39 40 4], [45 10 37 3 44], [41 11 39 10 44], [45 10 37 3 4], [19 11 39 45 3], [45 10 40 37 4], [17 19 11 45 37], [17 19 37 3 44]"
45-12-5-4-3-1-39,39,"17,19,41,11,39,45,10,40,37,3,44,4","[40 37 3 44 4], [41 11 39 45 10], [17 19 3 44 4], [39 45 10 40 37], [17 19 41 11 4], [39 45 10 3 44], [17 19 11 40 37], [41 39 45 10 4], [17 19 41 3 44], [19 41 11 40 37], [17 11 39 45 10], [19 40 37 3 44], [45 10 3 44 4], [11 39 40 37 44], [17 19 45 10 3], [41 39 40 37 4], [17 11 45 10 3], [45 10 40 37 44], [17 19 41 39 4], [11 10 40 37 3], [17 19 41 45 4], [41 40 37 44 4], [17 19 11 3 4], [17 45 10 40 37], [19 11 39 44 4], [41 10 40 37 3], [17 19 45 37 4], [17 45 40 3 44], [19 11 39 45 10], [41 40 3 44 4], [11 39 10 40 44], [17 41 39 40 4], [45 10 37 3 44], [41 11 39 10 44], [45 10 37 3 4], [19 11 39 45 3], [45 10 40 37 4], [17 19 11 45 37], [17 19 37 3 44]"
45-12-5-4-3-1-39,39,"30,4,42,31,27,11,2,45,28,39,25,41","[45 28 39 25 41], [42 31 27 11 2], [30 4 39 25 41], [27 11 2 45 28], [30 4 42 31 41], [27 11 2 39 25], [30 4 31 45 28], [42 27 11 2 41], [30 4 42 39 25], [4 42 31 45 28], [30 31 27 11 2], [4 45 28 39 25], [11 2 39 25 41], [31 27 45 28 25], [30 4 11 2 39], [42 27 45 28 41], [30 31 11 2 39], [11 2 45 28 25], [30 4 42 27 41], [31 2 45 28 39], [30 4 42 11 41], [42 45 28 25 41], [30 4 31 39 41], [30 11 2 45 28], [4 31 27 25 41], [42 2 45 28 39], [30 4 11 28 41], [30 11 45 39 25], [4 31 27 11 2], [42 45 39 25 41], [31 27 2 45 25], [30 42 27 45 41], [11 2 28 39 25], [42 31 27 2 25], [11 2 28 39 41], [4 31 27 11 39], [11 2 45 28 41], [30 4 31 11 28], [30 4 28 39 25]"
